Year,Month,spei1,sri1,ssmi1
1985,1,-0.674970355,-1.854363715,-0.801795938
1985,2,0.50354147,-0.32790444,-0.687666743
1985,3,0.149355435,-1.388369094,-0.625863365
1985,4,1.360066481,0.728996399,0.117260246
1985,5,0.993605705,1.242142008,1.006570675
1985,6,1.272251723,1.636958282,1.251525825
1985,7,-0.134736367,0.021060876,0.751590404
1985,8,0.400271786,0.126881608,0.856659625
1985,9,0.890773408,1.065889792,1.371177445
1985,10,-0.563843639,-0.144577618,0.69081605
1985,11,0.610645173,0.431957219,0.712631919
1985,12,-0.37599074,0.106199959,0.429659458
1986,1,-1.491108609,-1.016768864,0.494958127
1986,2,-0.845911672,-1.403484459,0.373616814
1986,3,-0.175654472,-1.121487308,0.196764309
1986,4,1.041724916,0.551994357,0.713440656
1986,5,-0.91484425,-0.629795647,-0.383160232
1986,6,-1.100293084,-1.10042471,-0.839866018
1986,7,2.5119536,1.331961188,1.179595686
1986,8,0.501695161,1.371891491,0.889421824
1986,9,0.668117993,1.268035556,0.935037958
1986,10,1.955328264,2.302699388,1.360859883
1986,11,0.227655226,0.320265833,1.245877529
1986,12,0.316341094,-0.294136854,1.451589531
1987,1,0.618534442,0.436513534,1.299674657
1987,2,0.498116261,0.855642997,1.165542583
1987,3,-0.138350697,-0.249747057,0.853434417
1987,4,0.346163571,-0.888856625,0.826327609
1987,5,-1.837489708,-1.768425713,-0.559140377
1987,6,-0.047089786,-0.30104258,-0.461433991
1987,7,-1.215172083,-1.072417462,-0.989968989
1987,8,-0.228225969,-1.092154069,-0.950800926
1987,9,2.230579147,1.106121199,0.51830831
1987,10,-0.499510764,0.319737947,0.080019359
1987,11,0.688769006,0.29416387,0.206036228
1987,12,0.822773712,0.533899346,0.108568417
1988,1,-0.710109689,-0.812458052,0.203271653
1988,2,0.105873405,-0.019285095,0.255700779
1988,3,-1.559819464,-0.467525489,-0.113065474
1988,4,0.122508353,-0.120822811,-0.213207132
1988,5,-0.223497456,-0.453470722,-0.533614031
1988,6,-1.394835536,-1.737592038,-0.966454961
1988,7,-2.178895611,-1.652422996,-1.501825388
1988,8,0.193900968,-0.75068631,-1.221617657
1988,9,0.183104813,-0.345531128,-1.124341883
1988,10,-0.570510392,-0.922989407,-1.304854843
1988,11,0.729057586,-0.36181938,-0.984612612
1988,12,-1.25550014,0.172825439,-1.22929849
1989,1,-0.500766637,-0.649422367,-1.300711366
1989,2,-0.004257785,-1.346466111,-1.348446688
1989,3,0.268794566,-0.240319897,-1.259695595
1989,4,-1.076551916,-1.234182703,-1.478649016
1989,5,0.460183545,0.187222184,-0.517445235
1989,6,-0.071292078,-0.003656967,-0.616887254
1989,7,-0.723303208,-1.025839554,-0.952329584
1989,8,-1.501863375,-0.953375825,-1.330536647
1989,9,-1.305173348,-1.441405031,-1.65698558
1989,10,0.943308868,0.185703103,-1.201673338
1989,11,-0.507227344,-0.544076067,-1.186946262
1989,12,1.545793176,1.086275498,-1.157152761
1990,1,-1.20077857,-0.673117124,-1.271382373
1990,2,0.641257213,-0.495561287,-1.216130828
1990,3,1.298976611,0.739284168,-1.069678177
1990,4,0.338551102,0.058214169,-1.129305436
1990,5,1.476573062,1.127426666,0.730259885
1990,6,1.639494292,1.720197008,1.398719119
1990,7,1.260585821,1.962680855,1.598930654
1990,8,-1.697035546,0.34599482,0.196559969
1990,9,-0.233398787,-1.271265448,0.272099003
1990,10,0.660347126,0.680664277,0.630953372
1990,11,-0.281528068,-0.44633474,0.311554821
1990,12,0.697079613,0.770452274,0.090538107
1991,1,1.400591349,1.124294031,0.770055295
1991,2,-0.034694351,0.208367256,0.505954031
1991,3,-0.0334766,-0.720908297,0.362846369
1991,4,0.432504077,1.035027882,0.364236162
1991,5,-0.610805763,-0.506429924,-0.385561507
1991,6,0.711593221,0.189015249,0.168024439
1991,7,0.046882743,0.009446312,-0.117634926
1991,8,0.716403204,0.45263564,0.135817032
1991,9,2.042653077,1.949007239,1.381591231
1991,10,0.511025289,0.951917218,1.330929193
1991,11,0.980677349,1.209829802,1.585150826
1991,12,-0.021998302,0.166270875,1.429439871
1992,1,1.345118189,1.031619133,1.674452057
1992,2,1.941143129,1.523842562,2.342706401
1992,3,-0.499178185,1.187680661,1.546426671
1992,4,-0.930537067,-1.531805356,0.794696653
1992,5,-0.336113383,-0.295564144,0.31663883
1992,6,-1.011427651,-0.799182173,-0.351592908
1992,7,-0.432672574,-0.714452175,-0.684974112
1992,8,-1.554218169,-1.571845297,-0.94722483
1992,9,-0.097877001,-0.525926574,-0.968412249
1992,10,0.990629096,0.499383677,-0.367412071
1992,11,0.140999112,-0.164653066,-0.4096725
1992,12,-0.636410306,0.205251043,-0.705669952
1993,1,0.927043578,0.78653258,-0.34976306
1993,2,1.33156964,1.135433476,0.008466935
1993,3,-0.33249251,0.385223591,-0.302234689
1993,4,0.346977078,0.306796143,-0.310356639
1993,5,0.338142567,-0.220100445,0.257454089
1993,6,-1.022958381,-0.369106758,-0.453852723
1993,7,-1.53246233,-1.027797562,-1.142828031
1993,8,0.840352979,-0.768112073,-0.568648594
1993,9,0.729386298,0.65209062,-0.264158371
1993,10,0.547800045,0.182918565,0.073287143
1993,11,-1.442801921,-0.273456371,-0.423771951
1993,12,-0.247385078,-1.123379507,-0.649734364
1994,1,-1.183364915,-1.364402137,-0.549576378
1994,2,1.537154784,1.904454536,-0.060052897
1994,3,1.727403493,1.346140103,0.864115185
1994,4,-1.461035392,0.707941871,-0.116280888
1994,5,-0.212651041,-0.377759143,-0.280242807
1994,6,1.893319825,1.462798206,1.159907485
1994,7,0.828115627,1.323879408,1.178376291
1994,8,-0.140477947,0.20386691,0.754224666
1994,9,-0.889150492,-0.713301639,0.231990369
1994,10,-1.399792185,-1.260295028,-0.409466265
1994,11,0.888910653,-0.539913097,-0.032451193
1994,12,1.801661219,2.63226868,0.136157369
1995,1,0.640917501,1.140406189,0.391486592
1995,2,0.674443808,0.201484175,0.381376825
1995,3,-0.887354382,-0.97224845,0.098862795
1995,4,-1.247267695,-0.941618397,-0.291847364
1995,5,-0.089178241,0.014044121,-0.479896129
1995,6,0.255202273,-0.291819867,-0.176238005
1995,7,0.590416981,0.535536022,-0.057387672
1995,8,1.117004781,1.08659526,0.322746821
1995,9,0.918561809,0.955597456,0.79561344
1995,10,-0.358511779,0.226811089,0.356813792
1995,11,1.966853306,1.664511438,1.428204192
1995,12,-1.184436808,1.160266376,0.766928853
1996,1,-1.316445401,-0.661211669,0.63067322
1996,2,0.239738197,0.325487488,0.65113778
1996,3,1.408580269,1.121903337,1.381888427
1996,4,0.042440347,0.691899936,1.025547675
1996,5,0.493964689,0.62634467,0.981591432
1996,6,-0.397041984,-0.20115419,0.426455231
1996,7,0.442012801,-0.038904704,0.422873726
1996,8,0.158119746,0.551876978,0.2108659
1996,9,-0.792970237,-0.995905667,-0.084794197
1996,10,-0.17800698,-0.068952074,-0.123208994
1996,11,1.444764038,1.342346563,0.189202563
1996,12,-0.019127489,-0.10957842,-0.068298379
1997,1,-0.263256707,-0.331480857,0.186099942
1997,2,1.150563955,0.621875661,0.547702955
1997,3,1.087430297,1.023784608,0.951121893
1997,4,1.409976919,1.266148659,2.47245946
1997,5,-1.034930476,-0.50888759,0.108587267
1997,6,0.205056969,-0.325872344,0.377208257
1997,7,1.168441856,0.955011023,0.770422392
1997,8,-0.203057991,0.101208319,0.367980989
1997,9,1.422947818,1.568977654,1.100392919
1997,10,-0.048093152,1.276619359,0.404602011
1997,11,-0.971373326,-0.846766657,-0.030200992
1997,12,0.709530861,-0.10957842,-0.151895931
1998,1,0.25233932,0.140309042,0.242035522
1998,2,-0.370960388,-0.044840567,0.155856536
1998,3,1.014047828,0.821888354,0.549430853
1998,4,0.968749106,1.242786949,0.816645342
1998,5,-0.928408239,-1.210229813,-0.210080568
1998,6,0.897055063,0.207648255,0.669354382
1998,7,0.50320748,1.069021994,0.3946388
1998,8,-0.740901409,-0.504101414,-0.02183992
1998,9,-1.785830485,-1.527901072,-0.657920705
1998,10,-0.783978732,-1.325211908,-0.813226488
1998,11,0.186896937,-0.372484136,-0.717489242
1998,12,-0.748455488,-1.261188723,-0.902456492
1999,1,1.423564717,1.84414573,-0.356966287
1999,2,-1.50588608,-0.42059261,-0.541951169
1999,3,-0.914077498,-0.221689743,-0.777482848
1999,4,-0.693982913,-0.589778043,-1.00332153
1999,5,1.134004024,0.819529149,0.353607705
1999,6,-1.217560312,-0.007138494,-0.709086417
1999,7,0.825215463,0.295420697,-0.059258668
1999,8,2.02293127,1.698589443,1.638423717
1999,9,0.463903901,1.491305553,1.244587078
1999,10,0.83496512,0.799777072,1.796063476
1999,11,1.201501553,2.054440445,1.706935921
1999,12,0.300132124,0.741901065,2.777365254
2000,1,1.270072889,0.720403343,2.267901161
2000,2,0.831766894,1.59899395,1.830342974
2000,3,1.305063178,1.588929654,2.373643133
2000,4,-0.322142722,0.672903601,1.591340724
2000,5,0.855133132,0.680102166,1.318523663
2000,6,-0.276885685,-0.874101552,0.821496991
2000,7,0.7738037,0.655829489,1.019065144
2000,8,0.689266585,0.477768774,1.422674369
2000,9,-0.339641861,1.145502882,0.451050942
2000,10,0.785518851,0.226270956,1.215021251
2000,11,-0.007505225,0.26743176,0.902479492
2000,12,-0.884391648,-0.179599635,0.423529562
2001,1,-1.629142678,-1.282445722,0.46912355
2001,2,0.669846324,-0.010895515,0.689255322
2001,3,-0.255680464,0.637161085,0.440252287
2001,4,-2.112662028,-2.008790587,-0.191664029
2001,5,2.164562108,1.755178918,2.193505727
2001,6,1.352833204,2.660337347,1.950550934
2001,7,0.483257337,1.255382274,2.116856019
2001,8,-0.37716119,0.593412816,1.257093587
2001,9,0.156791587,0.833000909,0.912415765
2001,10,1.466644005,1.249077902,2.191685227
2001,11,0.94265673,1.733012055,2.403630306
2001,12,-1.031407956,0.085730486,3.5
2002,1,0.737093413,0.28399281,1.529908999
2002,2,-0.490464695,0.26846914,1.067034969
2002,3,-0.119474111,0.374151103,0.860551224
2002,4,-0.196573833,-0.377967308,0.584924744
2002,5,1.72524895,1.779051474,1.874385917
2002,6,0.489054897,0.775586019,1.584980267
2002,7,0.42070949,1.149789386,1.537263323
2002,8,1.736947471,2.322651377,2.322902167
2002,9,-0.080762329,0.012886767,2.378302372
2002,10,-0.581796717,-0.063610279,0.988419662
2002,11,-0.313777267,-0.686295914,0.63494999
2002,12,-0.467326745,-0.547228107,0.344894386
2003,1,0.923268361,1.385801982,0.92941065
2003,2,0.722455989,0.69951476,0.932965144
2003,3,0.1915961,-0.369206867,0.864439366
2003,4,-0.795407659,-1.153943177,0.342848011
2003,5,-0.087876163,0.292729387,0.179582473
2003,6,1.345475099,1.333310627,0.913115443
2003,7,-1.340150275,-1.219739588,-0.065176165
2003,8,-0.460661815,-0.597040077,-0.201454139
2003,9,-0.072887933,-0.139198845,-0.206594109
2003,10,-1.132012612,-1.410900207,-0.551804053
2003,11,-2.230189775,-1.115313215,-0.797961863
2003,12,1.242732567,0.784562732,-0.752594907
2004,1,0.850586022,0.876084204,-0.413838063
2004,2,-0.40106567,-0.445024672,-0.486397131
2004,3,-1.848936928,-1.839543518,-0.705895692
2004,4,1.889648255,2.059040974,0.662869272
2004,5,0.778683255,1.071851299,0.871248679
2004,6,0.535452856,0.525162415,0.811495277
2004,7,-0.240778273,-0.005596148,0.171214807
2004,8,-0.019097307,-0.082042708,-0.002996615
2004,9,0.0148571,-0.086274715,-0.065443335
2004,10,-0.653139312,-0.416266932,-0.412398834
2004,11,-0.216115818,-1.391611583,-0.456575801
2004,12,-0.592320117,-0.398354455,-0.709991017
2005,1,0.700768389,0.164477726,-0.424626645
2005,2,-0.943748244,-0.61844119,-0.467528305
2005,3,1.761058083,1.676472736,0.283711244
2005,4,-0.90633499,0.437444332,-0.307144835
2005,5,-1.981693506,-2.283986415,-1.160240049
2005,6,0.563535297,-0.140043414,-0.199743427
2005,7,-0.517284276,-0.026413372,-0.697232205
2005,8,1.121575476,0.344878611,-0.09008141
2005,9,-0.098756657,-0.187685186,-0.14022853
2005,10,0.270568239,0.097252393,0.084925864
2005,11,-0.539185547,-0.007573121,-0.260809467
2005,12,1.082089267,0.280808093,-0.254030762
2006,1,-1.209545557,0.245453062,-0.220858181
2006,2,-0.58467895,-0.75661228,-0.311471442
2006,3,-1.701439511,-1.548664394,-0.624542622
2006,4,0.729186686,-0.022948378,-0.078364455
2006,5,0.617057072,0.883721768,0.373054048
2006,6,-0.524859959,-0.210894877,-0.073757511
2006,7,0.244106787,0.452583089,-0.25703038
2006,8,-0.712977658,-0.730778622,-0.566996931
2006,9,-0.831182255,-0.784148158,-0.766508878
2006,10,1.715986061,1.539944337,0.064336317
2006,11,-0.754303939,-0.457849734,-0.246925069
2006,12,0.796219056,-0.416315371,-0.282605683
2007,1,-0.216071642,0.331803641,-0.117930448
2007,2,1.534485368,1.667539816,0.282552749
2007,3,-1.663577784,-0.735134835,-0.154175627
2007,4,1.667980291,1.280925564,0.997696323
2007,5,0.78469857,1.138270535,1.017801744
2007,6,-1.777871022,-1.213323526,-0.276858972
2007,7,0.853619833,0.380679866,0.241242673
2007,8,1.659818355,1.951322196,0.743124677
2007,9,0.565158372,0.951277793,0.84386643
2007,10,-0.384290137,0.171723916,0.321710507
2007,11,-0.246927729,-0.608474946,0.039329767
2007,12,-1.599239534,-1.538827953,-0.293651017
2008,1,0.749096937,0.205643544,0.32612805
2008,2,0.456319084,0.751227064,0.365121977
2008,3,0.611877227,0.582561703,0.306943533
2008,4,-0.098407243,-0.542716154,0.101452945
2008,5,0.468357806,0.705199424,0.31663883
2008,6,0.937708995,0.360753323,0.885869956
2008,7,0.965603191,0.872885933,1.219687279
2008,8,0.396146083,0.717053852,1.221744033
2008,9,-1.478281102,-0.371722554,0.178114601
2008,10,0.309648918,-0.383954874,0.627418316
2008,11,1.966991558,2.363132682,0.842888724
2008,12,0.005584831,-0.071803911,0.705204491
2009,1,0.051603842,0.567645522,0.756307579
2009,2,-1.306246002,-0.841509558,0.500281345
2009,3,-0.154392956,-1.063276615,0.362846369
2009,4,0.221653934,0.430741235,0.194388245
2009,5,-0.319984865,-0.718834593,-0.064044595
2009,6,-0.154967476,-0.67583726,-0.070788962
2009,7,-0.306952341,-0.282988202,-0.44074471
2009,8,0.077389726,-0.370336435,-0.405605095
2009,9,-2.276333094,-1.621467519,-1.000617304
2009,10,-2.011174464,-2.300746269,-1.453758866
2009,11,-1.025312358,-1.676327431,-1.304168872
2009,12,-2.051189028,-1.886213138,-1.428087392
2010,1,-1.496184315,-1.49880652,-1.508638858
2010,2,-0.945318702,-1.374609743,-1.54153964
2010,3,-0.335252343,-0.679234982,-1.412277182
2010,4,0.97971097,0.699948248,-1.050796286
2010,5,-0.9630732,-0.582193379,-1.361337197
2010,6,-1.420630647,-1.552084103,-1.999790692
2010,7,-0.997396051,-1.322702146,-1.17592086
2010,8,-1.236929565,-0.935623661,-1.406046084
2010,9,0.594657721,-0.367331689,-1.103716876
2010,10,1.424002512,0.930997252,-0.352150189
2010,11,-0.522617823,-0.05347336,-0.599844231
2010,12,1.483002202,1.550652889,-0.604617699
2011,1,1.305079665,1.511811911,-0.168328079
2011,2,-1.542644957,-0.106859027,-0.479770371
2011,3,0.90438067,0.500588043,-0.250830176
2011,4,0.668782642,0.59076358,-0.023715225
2011,5,-0.575306083,-0.208253625,-0.537826783
2011,6,-1.096900314,-1.054369856,-1.160081045
2011,7,-1.223449522,-1.087536546,-1.373123375
2011,8,-1.868423104,-1.865366133,-1.57771287
2011,9,0.320835844,-0.754226018,-1.440667462
2011,10,-1.280749272,-1.289130579,-1.797678407
2011,11,0.047572387,-0.337327258,-1.530095379
2011,12,0.137225702,-0.328221535,-1.61820149
2012,1,0.114667235,-0.18715024,-1.792038432
2012,2,-1.712880585,-1.742950997,-1.919748135
2012,3,0.452206924,1.268284986,-1.787959626
2012,4,-0.288178261,-0.358084181,-1.85227217
2012,5,-0.589878594,-1.006534747,-1.562239297
2012,6,-0.182749385,-0.028171675,-1.524402208
2012,7,0.031814504,-0.855918798,-0.93861362
2012,8,-0.998563964,-0.821381429,-1.209340124
2012,9,0.036388135,-0.587413123,-1.079471461
2012,10,-1.40498466,-0.790477314,-1.469339737
2012,11,-0.754892175,-1.198720938,-1.352837088
2012,12,-1.281829694,-2.315255141,-1.487268895
2013,1,-0.982258255,-1.792381209,-1.638406404
2013,2,-1.546541102,-1.961616928,-1.721247865
2013,3,-0.840466796,-1.363659233,-1.79019479
2013,4,-0.885581057,-1.514114942,-1.891947817
2013,5,0.10604214,0.012377674,-1.651504911
2013,6,-1.122982972,-0.575993779,-1.964273506
2013,7,-1.270636078,-2.000927442,-1.593063039
2013,8,0.476432495,-0.766093133,-1.253862221
2013,9,-0.676814222,-0.793311092,-1.457230608
2013,10,0.741137831,-0.011299013,-1.015547915
2013,11,-1.81431721,-0.141216241,-1.163491753
2013,12,1.422462011,0.793909685,-1.161495249
2014,1,-0.26662348,-0.673117124,-1.27401551
2014,2,-0.424536526,0.15207097,-1.279690586
2014,3,-0.602965427,-0.268831625,-1.415984262
2014,4,-1.432464407,-1.479512732,-1.66233563
2014,5,-1.601721579,-1.569879637,-2.209659903
2014,6,0.953219501,0.587402101,-0.564069776
2014,7,0.126107871,0.064641765,-0.588535653
2014,8,-0.287803596,-0.556902394,-0.670866615
2014,9,-0.322630865,-0.490453341,-0.672109215
2014,10,-1.109543095,-1.257127935,-0.985614101
2014,11,-0.338648363,-0.457849734,-0.98380052
2014,12,0.183566777,-0.489973485,-1.098127451
